#AFFY	Barcode
1554202_x_at	0
1554203_at	0
1554205_s_at	1
1554206_at	0
1554208_at	0
1554210_at	0
1554212_s_at	0
1554213_at	0
1554214_at	0
1554216_at	0
1554217_a_at	1
1554219_at	0
1554220_a_at	0
1554222_at	0
1554224_at	0
1554225_a_at	0
1554228_a_at	0
1554229_at	0
1554231_a_at	0
1554232_a_at	0
1554233_at	0
1554234_at	0
1554235_at	0
1554237_at	1
1554239_s_at	1
1554240_a_at	0
1554241_at	1
1554242_a_at	1
1554245_x_at	0
1554246_at	0
1554248_at	0
1554249_a_at	1
1554250_s_at	1
1554251_at	0
1554252_a_at	0
1554253_a_at	0
1554256_a_at	0
1554258_a_at	0
1554259_at	0
1554260_a_at	0
1554261_at	0
1554262_s_at	0
1554264_at	0
1554266_at	0
1554268_at	0
1554271_a_at	0
1554272_at	0
1554273_a_at	0
1554274_a_at	0
1554276_at	0
1554277_s_at	1
1554279_a_at	0
1554280_a_at	0
1554281_at	0
1554283_at	0
1554285_at	0
1554286_at	0
1554287_at	1
1554288_at	0
1554290_at	0
1554291_at	0
1554292_a_at	0
1554293_at	0
1554294_s_at	0
1554295_x_at	0
1554296_at	0
1554298_a_at	0
1554299_at	0
1554300_a_at	0
1554301_at	0
1554302_s_at	0
1554303_at	0
1554305_at	0
1554306_at	0
1554307_at	0
1554308_s_at	0
1554309_at	0
1554310_a_at	1
1554311_a_at	1
1554312_at	0
1554314_at	0
1554316_at	0
1554317_s_at	0
1554318_at	0
1554319_at	0
1554321_a_at	0
1554322_a_at	0
1554324_s_at	0
1554325_at	0
1554327_a_at	0
1554328_at	0
1554329_x_at	0
1554331_a_at	0
1554332_a_at	0
1554333_at	1
1554334_a_at	0
1554335_at	0
1554337_at	0
1554339_a_at	0
1554340_a_at	0
1554341_a_at	0
1554342_s_at	0
1554343_a_at	0
1554344_s_at	0
1554345_a_at	0
1554346_at	0
1554348_s_at	0
1554349_at	0
1554351_a_at	1
1554352_s_at	0
1554354_at	0
1554355_a_at	0
1554356_at	0
1554360_at	0
1554362_at	0
1554364_at	0
1554365_a_at	1
1554367_at	0
1554368_at	0
1554371_at	0
1554372_at	0
1554374_at	0
1554375_a_at	0
1554376_s_at	0
1554377_a_at	0
1554378_a_at	0
1554379_a_at	0
1554380_at	0
1554382_at	0
1554383_a_at	0
1554384_at	0
1554385_a_at	0
1554386_at	0
1554388_at	0
1554390_s_at	1
1554391_at	0
1554393_a_at	0
1554394_at	0
1554396_at	0
1554397_s_at	0
1554398_at	1
1554400_at	0
1554401_a_at	0
1554403_a_at	0
1554404_a_at	0
1554405_a_at	0
1554406_a_at	0
1554408_a_at	0
1554409_at	0
1554410_a_at	0
1554411_at	0
1554413_s_at	0
1554414_a_at	0
1554415_at	0
1554417_s_at	0
1554418_s_at	0
1554419_x_at	0
1554420_at	0
1554423_a_at	0
1554424_at	1
1554428_s_at	0
1554429_a_at	0
1554430_at	0
1554432_x_at	0
1554433_a_at	0
1554436_a_at	0
1554438_at	0
1554440_at	0
1554441_a_at	0
1554442_at	0
1554443_s_at	0
1554444_s_at	0
1554445_at	1
1554447_at	1
1554448_at	1
1554449_at	0
1554450_s_at	0
